Classical-Only (A),Classical + BDE (A+B),Classical + Independent Physics (A+C),Full (A+B+C),name,BDE_lit,BDE_min,bond_type,oxygen_radical_flag,has_oxygen
-0.6636700730990026,-0.5753486052669539,-0.6655726864484688,-0.5779426732638973,HCOOH+,92.9,92.9,C-H,1,1
-0.04498062600273878,-0.01727610101753818,-0.04533747879530692,-0.016416771071589675,C2H5+,378.1,378.1,C-H,0,0
-0.12325241844450563,-0.016129562854583668,-0.12277621785844905,-0.013337590169225422,C6H7+,320.9,320.9,C-H,0,0
-0.0942797869745462,-0.04113579877264417,-0.09595524018420942,-0.039012134051465086,CD,338.8,338.8,C-H,0,0
-0.08225040869063527,-0.04762925649885208,-0.09320436622831618,-0.04401770241620717,CH,337.6,337.6,C-H,0,0
-0.02350624218536801,-0.011135099063134035,-0.02516417672400406,-0.011358278670965838,CH+,394.1,394.1,C-H,0,0
0.03849256942802359,0.017771381141669984,0.040470193254660725,0.01808343005032853,CCH,468.6,468.6,C-H,0,0
0.08047811322700493,0.029893781035339462,0.08111796611770572,0.030032637908250948,C2H+,514.3,514.3,C-H,0,0
-0.0052592954767178846,-0.0036083673405826744,-0.006647124011736949,-0.003560903066236243,CH2,417.85,417.85,C-H,0,0
0.02294598208974863,0.006950473224546894,0.015424826333644948,0.007047357923242625,CH2+,442.6,442.6,C-H,0,0
0.09669596053887997,0.05644611883532358,0.09734586793096911,0.05610471431927655,C2H2,551.2,551.2,C-H,0,0
0.12414649270803402,0.04775829400762799,0.1316653887803323,0.04737447957475771,C2H2+,574.8,574.8,C-H,0,0
0.08116654853807237,0.031145196290370603,0.08000626384286402,0.03059119748813144,C2HO+,510.2,510.2,C-H,1,1
0.0028819657845309266,0.0018438324430203323,0.0037594359915820164,0.001985148377485757,HC2N+,429.4,429.4,C-H,0,0
0.22929718627739915,0.13500433291980096,0.23052173815419552,0.13640481133174553,c-C3H,715.0,715.0,C-H,0,0
0.034870018262286084,0.006748375956903807,0.0205249622650987,0.006449188758390179,CH3,439.3,439.3,C-H,0,0
0.02702039838979875,0.016146546389234295,0.03747177985816785,0.015790159031242368,HNCO,458.6,458.6,N-H,0,1
-0.07556390031774507,0.16064291246023243,-0.0739539988370459,0.1550715632322337,HOCO,359.0,-34.545016048250545,O-H,1,1
-0.03452072927717875,-0.012940751115712246,-0.032357820885237754,-0.013009781868366765,H2CCN,394.1,394.1,C-H,0,0
-0.06342619216238088,-0.02863626700854871,-0.07245665723257577,-0.028872371845069633,H2CCO,360.2,360.2,C-H,0,1
-0.01632249000810493,0.0008887721486861011,-0.00841748352290761,0.000821583109319679,C2H3,418.4,418.4,C-H,0,0
-0.021914726162919784,0.0009117696959770605,-0.010816320512692545,0.0008048022624156381,C2H3+,418.4,418.4,C-H,0,0
0.10771193305662807,0.042279356653841305,0.10819025373234359,0.04231176557747052,t-C3H2,543.0,543.0,C-H,0,0
0.06312868441104902,0.034917431442533786,0.06397471661679566,0.034756482975036196,c-C3H2,497.0,497.0,C-H,0,0
0.09431671559223842,0.05569556159095068,0.0996083652581845,0.0555892187225262,HC3N+,551.0,551.0,C-H,0,0
0.14664934944572572,0.10721794054655609,0.13761295264928952,0.11012157108282761,HCOOH,587.0,484.2441413094021,O-H,1,1
-0.011709944025253716,0.02614282497242737,-0.012777505819186352,0.018770725257641008,CH2OH,402.3,162.68840686652945,O-H,1,1
0.0072004595974388685,0.11585625074317374,0.012083649944894859,0.11603361759917963,CH3O,437.0,126.42860021961523,C-H,1,1
-0.034677971135035346,-0.021092764510070694,-0.03560219515419982,-0.021333699467266154,CH2SH,386.6,386.6,C-H,0,0
0.014213080708624037,0.004742000862721696,0.015294584220641116,0.004781754827776652,CH4,439.3,439.3,C-H,0,0
-0.07203102590385857,-0.029594807688698044,-0.081300274847949,-0.02952096868744647,CH3CO+,356.0,356.0,C-H,0,1
0.03341074021369561,0.014265533682867648,0.039495106107940714,0.014114021909271024,C2H4,464.0,464.0,C-H,0,0
0.019217986030064083,0.01889310338339456,0.03102116608336747,0.018966772005792443,C2H4+,461.1,461.1,C-H,0,0
0.16810262545158672,0.06543509015834159,0.17064057769259566,0.06569641252726832,HC3NH+,631.8,631.8,N-H,0,0
-0.0357536964231997,-0.01454715691258679,-0.036831784642538334,-0.014916185931628245,HCCCHO,385.0,385.0,C-H,0,1
0.052727572702387704,0.018814376093186702,0.05164948448304907,0.01933177886103321,c-C3H2O,472.0,472.0,C-H,0,1
-0.03588897172339145,-0.013694275449949611,-0.033610258764065204,-0.013732111318526474,CH2CCH,393.0,393.0,C-H,0,0
-0.0011073376693970793,0.005258797178835817,0.004618988629839116,0.006995016994036263,c-C3H3+,427.0,427.0,C-H,0,0
0.10194481129381883,0.043664114140522514,0.10297315235097981,0.0439558653474168,C4H2,539.0,539.0,C-H,0,0
-0.00457998873871901,0.0006987345811673151,-0.004255592406396502,0.0003928620021080853,C5H,427.0,427.0,C-H,0,0
-0.00043078277173602686,0.014624261729279109,-0.005410795161923776,0.016971975585483356,CH2NH2,418.0,342.3314699175289,C-H,0,0
-0.06522873597717593,-0.02886576955879594,-0.06707713300581997,-0.028895861998876615,CH3CO,362.0,362.0,C-H,0,1
-0.04047465077559664,-0.01585516573022039,-0.039186864994058546,-0.01597582986627666,CH3NH,388.0,388.0,C-H,0,0
-0.01972283216405213,-0.008309847782932422,-0.019904217419883796,-0.008562354250398307,CH3SH,401.0,401.0,C-H,0,0
0.02215565634270522,0.00590359392041373,0.0203404489525143,0.005574438262505588,CH3OH,437.0,437.0,O-H,1,1
-0.04823106155254786,-0.020500322013306427,-0.05424028602029862,-0.020725276029361694,CH3NCO,377.0,377.0,C-H,0,1
