name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
HCOOH+,O=C[OH+],"KIDA,UMIST",TRUE,positive,1,46.004930724089995,3,0,1,0,0,TRUE
C2H5+,[CH2+]C,"KIDA,UMIST",TRUE,positive,1,29.03857658,2,0,0,0,0,FALSE
C4H7+,[CH2+]C=CC,"KIDA,UMIST",TRUE,positive,1,55.054226644089994,4,0,0,0,0,FALSE
C6H7+,C1=C[CH+]CC=C1,"KIDA,UMIST",TRUE,positive,1,79.05422664,6,0,0,0,0,FALSE
CD,[2H][C],KIDA,TRUE,neutral,0,14.01410178,1,0,0,0,0,FALSE
CH,[CH],KIDA,TRUE,neutral,0,13.00782503,1,0,0,0,0,FALSE
CH+,[CH+],KIDA,TRUE,positive,1,13.00727645,1,0,0,0,0,FALSE
CCH,[C]#C,KIDA,TRUE,neutral,0,25.00782503,2,0,0,0,0,FALSE
C2H+,[C+]#C,KIDA,TRUE,positive,1,25.00727645,2,0,0,0,0,FALSE
CH2,[CH2],KIDA,TRUE,neutral,0,14.015650063999999,1,0,0,0,0,FALSE
CH2+,[CH2+],KIDA,TRUE,positive,1,14.01510148,1,0,0,0,0,FALSE
C2H2,C#C,KIDA,TRUE,neutral,0,26.01565006,2,0,0,0,0,FALSE
C2H2+,[CH]=[CH+],KIDA,TRUE,positive,1,26.01510148,2,0,0,0,0,FALSE
C2HO+,[C+]=C[O],KIDA,TRUE,positive,1,41.00219107,3,0,0,0,0,TRUE
HCCP,[CH+]=C=[P-],KIDA,TRUE,neutral,0,55.98158666,3,0,0,0,0,FALSE
HC2N+,[CH+]=C=[N],KIDA,TRUE,positive,1,39.01035045,3,0,0,0,0,FALSE
c-C3H,[C]1=C=C1,KIDA,TRUE,neutral,0,37.00782503,3,0,0,0,0,FALSE
C3H+,[C+]C#C,KIDA,TRUE,positive,1,37.00727645,3,0,0,0,0,FALSE
CH3,[CH3],KIDA,TRUE,neutral,0,15.0234751,1,0,0,0,0,FALSE
CH3+,[CH3+],KIDA,TRUE,positive,1,15.022926516090001,1,0,0,0,0,FALSE
HNCO,N=C=O,KIDA,TRUE,neutral,0,43.00581365,3,1,2,0,0,TRUE
