name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
HCOOH+,92.9,261.28014428084396,C-H,1,literature,0.0,True,1.0,5.0,
C2H5+,378.1,378.1,C-H,5,literature,0.0,False,1.0,0.0,
C4H7+,404.93208264609825,469.44359276743035,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.089641061143388
C6H7+,320.9,320.90000000000003,C-H,7,literature,0.0,False,1.0,3.0,
CD,338.8,338.8,C-H,1,literature,0.0,False,1.0,0.0,
CH,337.6,337.6,C-H,1,literature,0.0,False,1.0,0.0,
CH+,394.1,394.1,C-H,0,literature,0.0,False,1.0,0.0,
CCH,468.6,468.6,C-H,0,literature,0.0,False,1.0,2.0,
C2H+,514.3,514.3,C-H,0,literature,0.0,False,1.0,2.0,
CH2,417.85,417.85,C-H,0,literature,0.0,False,1.0,0.0,
CH2+,442.6,442.6,C-H,0,literature,0.0,False,1.0,0.0,
C2H2,551.2,551.2,C-H,0,literature,0.0,False,1.0,2.0,
C2H2+,574.8,574.8,C-H,0,literature,0.0,False,1.0,2.0,
C2HO+,510.2,510.2,C-H,0,literature,0.0,True,1.0,4.0,
HCCP,479.1321135350112,479.1321135350112,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.07645087208256
HC2N+,429.4,429.4,C-H,0,literature,0.0,False,1.0,2.0,
c-C3H,715.0,715.0,C-H,0,literature,0.0,False,1.0,3.0,
C3H+,683.1222047425149,683.1222047425149,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0634853786308587
CH3,439.3,439.3,C-H,0,literature,0.0,False,1.0,0.0,
CH3+,650.5100709933707,650.5100709933707,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.082549619193557
HNCO,458.6,458.6,N-H,0,literature,0.0,False,1.0,2.0,
