name,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol
HCOOH+,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
C2H5+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H7+,686.9653561832204,-35.253755605881175,-34.288559144058986,-33.92142235510958,-44.715149036856246,446.55754238140014,446.55754238140014
C6H7+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CD,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-63.22440183626138,446.5319237054945,446.5319237054945
CH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CCH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH2+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H2+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2HO+,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
HCCP,686.9653561832204,-35.32968394974679,-34.361818068249775,-33.99313987340392,-44.22040765391166,447.4989706287416,447.4989706287416
HC2N+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
c-C3H,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
