name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A,tunneling_p_10K,tunneling_p_20K,tunneling_p_50K,gamow_factor,crossover_T,effective_barrier_kJmol,barrier_width_angstrom,particle_mass_amu,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol,log_tunneling_10K,log_tunneling_20K,log_tunneling_50K,log_gamow_factor,bde_literature_kjmol
HCOOH+,O=C[OH+],"KIDA,UMIST",True,positive,1,46.004930724089995,3,0,1,0,0,True,92.9,261.28014428084396,C-H,1,literature,0.0,True,1.0,5.0,,1.344929712895155e-22,1.4602713723994657e-22,2.0601220169210193e-22,1.1219259040064031e-14,123.0100391927552,51.60426901589215,1.0,1.008,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634,-21.871300411646263,-21.835566428747075,-21.686107056472505,-13.9500358244914,92.9
C2H5+,[CH2+]C,"KIDA,UMIST",True,positive,1,29.03857658,2,0,0,0,0,False,378.1,378.1,C-H,5,literature,0.0,False,1.0,0.0,,0.0,0.0,4.1493356720348305e-183,1.7479888648916223e-40,350.5773704779167,419.1527070506179,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-182.3820214302914,-39.75746133825283,378.1
C4H7+,[CH2+]C=CC,"KIDA,UMIST",True,positive,1,55.054226644089994,4,0,0,0,0,False,404.93208264609825,469.44359276743035,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.089641061143388,0.0,0.0,1.3585764382223472e-177,8.371153080384796e-40,344.57902289719686,404.93208264609825,1.0,1.008,686.9653561832204,-35.253755605881175,-34.288559144058986,-33.92142235510958,-44.715149036856246,446.55754238140014,446.55754238140014,-300.0,-300.0,-176.86691592164485,-39.07721471620541,
C6H7+,C1=C[CH+]CC=C1,"KIDA,UMIST",True,positive,1,79.05422664,6,0,0,0,0,False,320.9,320.90000000000003,C-H,7,literature,0.0,False,1.0,3.0,,0.0,0.0,3.760338901574645e-178,7.136879463068428e-40,345.18989995774444,406.3690998164023,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-177.42477301239916,-39.14649163811295,320.9
CD,[2H][C],KIDA,True,neutral,0,14.01410178,1,0,0,0,0,False,338.8,338.8,C-H,1,literature,0.0,False,1.0,0.0,,0.0,0.0,0.0,1.846583208613884e-61,268.03749295566547,489.5471711028284,1.0,2.014,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-63.22440183626138,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-60.733631117892415,338.8
CH,[CH],KIDA,True,neutral,0,13.00782503,1,0,0,0,0,False,337.6,337.6,C-H,1,literature,0.0,False,1.0,0.0,,0.0,0.0,1.0636200520043496e-225,1.0802382906367938e-43,378.87418415848026,489.54717101618735,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-224.97321348368274,-42.9664804325746,337.6
CH+,[CH+],KIDA,True,positive,1,13.00727645,1,0,0,0,0,False,394.1,394.1,C-H,0,literature,0.0,False,1.0,0.0,,,,,,,,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,,,,,394.1
CCH,[C]#C,KIDA,True,neutral,0,25.00782503,2,0,0,0,0,False,468.6,468.6,C-H,0,literature,0.0,False,1.0,2.0,,0.0,2.5050974965148e-269,4.575069508077969e-133,5.371152759421263e-37,319.824685324064,348.8417683397175,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-268.60117536705246,-132.33960230340182,-36.26993249580356,468.6
C2H+,[C+]#C,KIDA,True,positive,1,25.00727645,2,0,0,0,0,False,514.3,514.3,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,0.0,2.13002754406288e-52,455.6351997423684,708.0094467683008,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-300.0,-51.67161478052503,514.3
CH2,[CH2],KIDA,True,neutral,0,14.015650064,1,0,0,0,0,False,417.85,417.85,C-H,0,literature,0.0,False,1.0,0.0,,0.0,0.0,9.198004728176333e-179,5.993611140722593e-40,345.8584714622508,407.944753710173,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-178.0363063715156,-39.22231143705215,417.85
