Species,Formula,Inchi
Al,Al,InChI=1S/Al
Ar,Ar,InChI=1S/Ar
AlO,AlO,InChI=1S/Al.O
C,C,InChI=1S/C
C(1D),C,InChI=1S/C
(13)C,C,InChI=1S/C/i1+1
C-,C-,InChI=1S/C/q-1
C+,C+,InChI=1S/C/q+1
Cl,Cl,InChI=1S/Cl
Cl+,Cl+,InChI=1S/Cl/q+1
CR,CR,
CRP,CRP,
C2,C2,InChI=1S/C2/c1-2
C2+,C2+,InChI=1S/C2/c1-2/q+1
CCl,CCl,InChI=1S/CCl/c1-2
CCl+,CCl+,InChI=1S/CCl/c1-2/q+1
CD,CD,InChI=1S/CH/h1H/i1D
CF+,CF+,InChI=1S/CF/c1-2/q+1
CH,CH,InChI=1S/CH/h1H
CH+,CH+,InChI=1S/CH/h1H/q+1
Cl2,Cl2,InChI=1S/Cl2/c1-2
ClO,ClO,InChI=1S/ClO/c1-2
ClO+,ClO+,InChI=1S/ClO/c1-2/q+1
CN,CN,InChI=1S/CN/c1-2
CN-,CN-,InChI=1S/CN/c1-2/q-1
CN+,CN+,InChI=1S/CN/c1-2/q+1
CO,CO,InChI=1S/CO/c1-2
(13)CO,CO,InChI=1S/CO/c1-2/i1+1
CO+,CO+,InChI=1S/CO/c1-2/q+1
CP,CP,InChI=1S/CP/c1-2
CP+,CP+,InChI=1S/CP/c1-2/q+1
CS,CS,InChI=1S/CS/c1-2
CS+,CS+,InChI=1S/CS/c1-2/q+1
CCH,C2H,InChI=1S/C2H/c1-2/h1H
C2H+,C2H+,InChI=1S/C2H/c1-2/h1H/q+1
CCN,C2N,InChI=1S/C2N/c1-2-3
C2N+,C2N+,InChI=1S/C2N/c1-2-3/q+1
CCO,C2O,InChI=1S/C2O/c1-2-3
C2O+,C2O+,InChI=1S/C2O/c1-2-3/q+1
CCP,C2P,InChI=1S/C2P/c1-2-3
CCS,C2S,InChI=1S/C2S/c1-2-3
C2S+,C2S+,InChI=1S/C2S/c1-2-3/q+1
C3,C3,InChI=1S/C3/c1-3-2
C3-,C3-,InChI=1S/C3/c1-3-2/q-1
C3+,C3+,InChI=1S/C3/c1-3-2/q+1
CCP+,CCP+,InChI=1S/C2P/c1-2-3/q+1
CH2,CH2,InChI=1S/CH2/h1H2
(1)CH2,CH2,InChI=1S/CH2/h1H2
CH2+,CH2+,InChI=1S/CH2/h1H2/q+1
CHSi+,CHSi+,InChI=1S/CHSi/c1-2/h1H/q+1
ClO2,ClO2,InChI=1S/ClO2/c1-3-2
ClOH,ClOH,InChI=1S/ClHO/c1-2/h2H
CN2,CN2,InChI=1S/CN2/c1-3-2
CNC+,CNC+,InChI=1S/C2N/c1-3-2/q+1
CNO,CNO,InChI=1S/CNO/c1-2-3
CO2,CO2,InChI=1S/CO2/c2-1-3
CO2+,CO2+,InChI=1S/CO2/c2-1-3/q+1
CS2,CS2,InChI=1S/CS2/c2-1-3
CS2+,CS2+,InChI=1S/CS2/c2-1-3/q+1
CSH+,CSH+,InChI=1S/CHS/c1-2/h2H/q+1
C2H2,C2H2,InChI=1S/C2H2/c1-2/h1-2H
C2H2+,C2H2+,InChI=1S/C2H2/c1-2/h1-2H/q+1
C2HO+,C2HO+,InChI=1S/C2HO/c1-2-3/h2H/q+1
HCCP,C2HP,InChI=1S/C2HP/c1-2-3/h1H
C2N2,C2N2,InChI=1S/C2N2/c3-1-2-4
C2N2+,C2N2+,InChI=1S/C2N2/c3-1-2-4/q+1
HC2N+,C2NH+,InChI=1S/C2HN/c1-2-3/h1H/q+1
c-C3H,C3H,InChI=1S/C3H/c1-2-3-1/h1H
C3H+,C3H+,InChI=1S/C3H/c1-3-2/h1H/q+1
C3N,C3N,InChI=1S/C3N/c1-2-3-4
C3N-,C3N-,InChI=1S/C3N/c1-2-3-4/q-1
C3N+,C3N+,InChI=1S/C3N/c1-2-3-4/q+1
C3O,C3O,InChI=1S/C3O/c1-2-3-4
C3O+,C3O+,InChI=1S/C3O/c1-2-3-4/q+1
C3P,C3P,InChI=1S/C3P/c1-2-3-4
C3S,C3S,InChI=1S/C3S/c1-2-3-4
C3S+,C3S+,InChI=1S/C3S/c1-2-3-4/q+1
C4,C4,InChI=1S/C4/c1-3-4-2
C4-,C4-,InChI=1S/C4/c1-3-4-2/q-1
C4+,C4+,InChI=1S/C4/c1-3-4-2/q+1
CH2Si+,CH2Si+,InChI=1S/CH2Si/c1-2/h1H2/q+1
CH3,CH3,InChI=1S/CH3/h1H3
CH3+,CH3+,InChI=1S/CH3/h1H3/q+1
HNCO,CHNO,InChI=1S/CHNO/c2-1-3/h2H
HOCO,CHO2,"InChI=1S/CHO2/c2-1-3/h(H,2,3)"
CNCN,CNCN,InChI=1S/C2N2/c1-4-2-3
H2CCN,C2H2N,InChI=1S/C2H2N/c1-2-3/h1H2
CH2CN+,C2H2N+,InChI=1S/C2H2N/c1-2-3/h1H2/q+1
H2CCO,C2H2O,InChI=1S/C2H2O/c1-2-3/h1H2
H2CCO+,C2H2O+,InChI=1S/C2H2O/c1-2-3/h1H2/q+1
C2H3,C2H3,"InChI=1S/C2H3/c1-2/h1H,2H2"
C2H3+,C2H3+,"InChI=1S/C2H3/c1-2/h1H,2H2/q+1"
C2N2H+,C2N2H+,InChI=1S/C2HN2/c3-1-2-4/h3H/q+1
t-C3H2,C3H2,InChI=1S/C3H2/c1-3-2/h1-2H
c-C3H2,C3H2,InChI=1S/C3H2/c1-2-3-1/h1-2H
c-C3H2+,C3H2+,InChI=1S/C3H2/c1-2-3-1/h1-2H/q+1
HC3N+,C3HN+,InChI=1S/C3HN/c1-2-3-4/h1H/q+1
C4H,C4H,InChI=1S/C4H/c1-3-4-2/h1H
C4H-,C4H-,InChI=1S/C4H/c1-3-4-2/h1H/q-1
C4H+,C4H+,InChI=1S/C4H/c1-3-4-2/h1H/q+1
C4N,C4N,InChI=1S/C4N/c1-2-3-4-5
C4N+,C4N+,InChI=1S/C4N/c1-2-3-4-5/q+1
C4P,C4P,InChI=1S/C4P/c1-2-3-4-5
C4P+,C4P+,InChI=1S/C4P/c1-2-3-4-5/q+1
C4S,C4S,InChI=1S/C4S/c1-2-3-4-5
C4S+,C4S+,InChI=1S/C4S/c1-2-3-4-5/q+1
C5,C5,InChI=1S/C5/c1-3-5-4-2
C5-,C5-,InChI=1S/C5/c1-3-5-4-2/q-1
C5+,C5+,InChI=1S/C5/c1-3-5-4-2/q+1
CH2NH+,CH2NH+,"InChI=1S/CH3N/c1-2/h2H,1H2/q+1"
HCOOH,CH2O2,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)"
HCOOH+,CH2O2+,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/q+1"
CH2OH,CH2OH,"InChI=1S/CH3O/c1-2/h2H,1H2"
CH2PH,CH2PH,"InChI=1S/CH3P/c1-2/h2H,1H2"
CH2NH,CH3N,"InChI=1S/CH3N/c1-2/h2H,1H2"
CH3O,CH3O,InChI=1S/CH3O/c1-2/h1H3
CH2SH,CH3S,"InChI=1S/CH3S/c1-2/h2H,1H2"
CH4,CH4,InChI=1S/CH4/h1H4
CH4+,CH4+,InChI=1S/CH4/h1H4/q+1
CH3CN,C2H3N,InChI=1S/C2H3N/c1-2-3/h1H3
CH3CN+,C2H3N+,InChI=1S/C2H3N/c1-2-3/h1H3/q+1
CH2CHO,C2H3O,"InChI=1S/C2H3O/c1-2-3/h2H,1H2"
CH3CO+,C2H3O+,InChI=1S/C2H3O/c1-2-3/h1H3/q+1
C2H4,C2H4,InChI=1S/C2H4/c1-2/h1-2H2
C2H4+,C2H4+,"InChI=1S/C2H4/c1-2/h1H,2H3/q+1"
HC3NH+,C3H2N+,"InChI=1S/C3H2N/c1-2-3-4/h1,4H/q+1"
HCCCHO,C3H2O,"InChI=1S/C3H2O/c1-2-3-4/h1,3H"
c-C3H2O,C3H2O,InChI=1S/C3H2O/c4-3-1-2-3/h1-2H
CH2CCH,C3H3,"InChI=1S/C3H3/c1-3-2/h1H,2H2"
c-C3H3+,C3H3+,InChI=1S/C3H3/c1-2-3-1/h1-3H/q+1
C4H2,C4H2,InChI=1S/C4H2/c1-3-4-2/h1-2H
C4H2+,C4H2+,InChI=1S/C4H2/c1-3-4-2/h1-2H/q+1
C4N2+,C4N2+,InChI=1S/C4N2/c5-3-1-2-4-6/q+1
C5H,C5H,InChI=1S/C5H/c1-3-5-4-2/h1H
C5H-,C5H-,InChI=1S/C5H/c1-3-5-4-2/h1H/q-1
C5H+,C5H+,InChI=1S/C5H/c1-3-5-4-2/h1H/q+1
C5N,C5N,InChI=1S/C5N/c1-2-3-4-5-6
C5N+,C5N+,InChI=1S/C5N/c1-2-3-4-5-6/q+1
C5O,C5O,InChI=1S/C5O/c1-2-3-4-5-6
C5S,C5S,InChI=1S/C5S/c1-2-3-4-5-6
C6,C6,InChI=1S/C6/c1-3-5-6-4-2
C6-,C6-,InChI=1S/C6/c1-3-5-6-4-2/q-1
C6+,C6+,InChI=1S/C6/c1-3-5-6-4-2/q+1
CH2NH2,CH2NH2,InChI=1S/CH4N/c1-2/h1-2H2
