name,formula
H-,H-
H,H
H+,H+
H2+,H2+
H3+,H3+
He,He
He+,He+
HeH+,HeH+
C+,C+
C,C
C-,C-
CH,CH
CH+,CH+
CH-,CH-
CH2+,CH2+
CH2,CH2
N+,N+
N,N
NH+,NH+
CH3,CH3
CH3+,CH3+
NH,NH
CH4+,CH4+
NH2,NH2
NH2+,NH2+
O+,O+
O-,O-
CH4,CH4
O,O
OH-,OH-
NH3+,NH3+
OH+,OH+
NH3,NH3
OH,OH
CH5+,CH5+
H2O+,H2O+
NH4+,NH4+
H2O,H2O
F,F
F+,F+
H3O+,H3O+
HF+,HF+
HF,HF
H2F+,H2F+
Na,Na
Na+,Na+
C2,C2
Mg,Mg
C2+,C2+
C2-,C2-
Mg+,Mg+
C2H+,C2H+
C2H-,C2H-
C2H,C2H
CN,CN
CN-,CN-
C2H2,C2H2
C2H2+,C2H2+
CN+,CN+
Al+,Al+
HCN,HCN
HNC,HNC
C2H3+,C2H3+
Al,Al
HCN+,HCN+
C2H3,C2H3
H2NC+,H2NC+
N2+,N2+
AlH,AlH
CO+,CO+
H2NC,H2NC
Si,Si
H2CN,H2CN
C2H4,C2H4
HCNH+,HCNH+
N2,N2
CO,CO
AlH+,AlH+
Si+,Si+
C2H4+,C2H4+
C2H5+,C2H5+
AlH2,AlH2
HOC+,HOC+
SiH+,SiH+
HCO+,HCO+
C2H5,C2H5
N2H+,N2H+
H2CNH+,H2CNH+
H2NCH+,H2NCH+
HCO,HCO
CH2NH,CH2NH
SiH,SiH
AlH3,AlH3
CH3CH3+,CH3CH3+
CH3CH3,CH3CH3
CH3NH,CH3NH
CH2NH2+,CH2NH2+
CH2NH2,CH2NH2
NO,NO
SiH2+,SiH2+
H2CO,H2CO
CH4N+,CH4N+
H2CO+,H2CO+
NO+,NO+
SiH2,SiH2
HNO+,HNO+
CH2OH,CH2OH
C2H7+,C2H7+
P,P
P+,P+
H2COH+,H2COH+
HNO,HNO
SiH3,SiH3
CH3O,CH3O
SiH3+,SiH3+
CF+,CF+
CH3NH2+,CH3NH2+
CH3NH2,CH3NH2
O2-,O2-
PH,PH
CH3NH3+,CH3NH3+
CH3OH+,CH3OH+
O2+,O2+
CH3OH,CH3OH
H2NO+,H2NO+
PH+,PH+
SiH4+,SiH4+
S+,S+
S-,S-
SiH4,SiH4
S,S
O2,O2
PH2+,PH2+
CH3OH2+,CH3OH2+
HS,HS
O2H,O2H
SiH5+,SiH5+
PH2,PH2
HS+,HS+
O2H+,O2H+
PH3,PH3
H2S+,H2S+
PH3+,PH3+
H2O2+,H2O2+
H2S,H2S
H2O2,H2O2
PH4+,PH4+
Cl+,Cl+
Cl,Cl
H3S+,H3S+
C3+,C3+
HCl,HCl
C3-,C3-
C3,C3
HCl+,HCl+
C3H,C3H
C3H-,C3H-
H2Cl+,H2Cl+
C3H+,C3H+
C3H2,C3H2
C2N+,C2N+
CNC+,CNC+
C3H2+,C3H2+
H2CCC,H2CCC
C2N,C2N
C3H3+,C3H3+
HCCN,HCCN
H2CCCH+,H2CCCH+
C2NH+,C2NH+
CH2CCH,CH2CCH
C2O,C2O
CH2CN+,CH2CN+
SiC+,SiC+
Ar+,Ar+
MgO,MgO
Ca+,Ca+
C3H4+,C3H4+
CH3CCH,CH3CCH
SiC,SiC
C2O+,C2O+
Ar,Ar
CH2CN,CH2CN
CH2CCH2,CH2CCH2
Ca,Ca
CH3CN,CH3CN
HCSi+,HCSi+
C3H5+,C3H5+
HCCO,HCCO
ArH+,ArH+
CH2CCH3+,CH2CCH3+
HC2O+,HC2O+
CH3CN+,CH3CN+
HCSi,HCSi
C3H5,C3H5
MgOH,MgOH
CH2CO,CH2CO
SiCH2+,SiCH2+
CNO,CNO
SiN+,SiN+
OCN,OCN
H2CCO+,H2CCO+
CH3CHCH2,CH3CHCH2
CH3CNH+,CH3CNH+
C3H6+,C3H6+
OCN+,OCN+
SiCH2,SiCH2
SiN,SiN
SiCH3,SiCH3
CP,CP
CH3CO+,CH3CO+
C3H7+,C3H7+
HONC,HONC
HCNO+,HCNO+
HNSi,HNSi
HNCO+,HNCO+
HOCN,HOCN
HCNO,HCNO
HNSi+,HNSi+
SiCH3+,SiCH3+
HNCO,HNCO
HOCN+,HOCN+
HONC+,HONC+
CP+,CP+
AlO,AlO
HCP+,HCP+
H2CNO+,H2CNO+
Ti+,Ti+
H2NCO+,H2NCO+
N2O+,N2O+
HNCOH+,HNCOH+
CH2CHOH,CH2CHOH
HCNOH+,HCNOH+
CS+,CS+
SiO,SiO
H2OCN+,H2OCN+
CH2CHOH+,CH2CHOH+
AlOH,AlOH
CO2,CO2
SiNH2+,SiNH2+
N2O,N2O
Ti,Ti
SiCH4+,SiCH4+
CH3CHO,CH3CHO
HCP,HCP
CS,CS
CH3CHO+,CH3CHO+
CO2+,CO2+
SiO+,SiO+
HSiO,HSiO
PN,PN
CH2CH2OH,CH2CH2OH
HCS+,HCS+
SiOH+,SiOH+
HCO2+,HCO2+
CH3CHOH,CH3CHOH
CH3OCH2+,CH3OCH2+
NH2CHO,NH2CHO
CH2CHOH2+,CH2CHOH2+
NH2CHO+,NH2CHO+
HN2O+,HN2O+
PN+,PN+
HCS,HCS
SiOH,SiOH
PCH2+,PCH2+
CH3CHOH+,CH3CHOH+
CH3OCH2,CH3OCH2
AlF,AlF
C2H5OH+,C2H5OH+
C2H5OH,C2H5OH
NH3CHO+,NH3CHO+
NS,NS
CH2PH,CH2PH
NO2+,NO2+
HCOOH,HCOOH
H2SiO,H2SiO
CH3OCH3+,CH3OCH3+
HCOOH+,HCOOH+
H2SiO+,H2SiO+
PCH3+,PCH3+
NS+,NS+
HPN+,HPN+
H2CS,H2CS
CH3OCH3,CH3OCH3
NO2,NO2
H2CS+,H2CS+
HNS+,HNS+
SiF+,SiF+
CH3OCH4+,CH3OCH4+
H3SiO+,H3SiO+
PO+,PO+
C2H5OH2+,C2H5OH2+
H2CSH+,H2CSH+
CCl+,CCl+
PNH2+,PNH2+
CCl,CCl
PO,PO
HCOOH2+,HCOOH2+
PCH4+,PCH4+
HPO+,HPO+
HCCl,HCCl
C4+,C4+
C4-,C4-
HCCl+,HCCl+
CH3SH+,CH3SH+
SO,SO
MgC2,MgC2
CH3SH,CH3SH
HPO,HPO
C4,C4
PNH3+,PNH3+
SO+,SO+
C4H-,C4H-
H2CCl+,H2CCl+
C4H,C4H
CH3SH2+,CH3SH2+
H2PO+,H2PO+
MgC2H+,MgC2H+
CH2Cl,CH2Cl
C4H+,C4H+
MgC2H,MgC2H
HSO+,HSO+
NaCN,NaCN
C3N,C3N
MgC2H2+,MgC2H2+
CH3Cl+,CH3Cl+
C3N-,C3N-
NaCNH+,NaCNH+
C4H2,C4H2
C4H2+,C4H2+
C3N+,C3N+
MgNC,MgNC
MgCN,MgCN
CH3Cl,CH3Cl
HCCNC+,HCCNC+
MgNCH+,MgNCH+
C4H3+,C4H3+
CH3ClH+,CH3ClH+
HNC3,HNC3
ClO+,ClO+
C4H3,C4H3
HMgNC,HMgNC
HC3N,HC3N
ClO,ClO
HCCNC,HCCNC
HC3N+,HC3N+
C3O+,C3O+
NCCN,NCCN
HCCNCH+,HCCNCH+
HMgNCH+,HMgNCH+
C4H4+,C4H4+
HC3NH+,HC3NH+
SiC2,SiC2
CH2CHCCH,CH2CHCCH
C3O,C3O
SiC2+,SiC2+
C2N2+,C2N2+
CH2CHCN+,CH2CHCN+
HC3O+,HC3O+
CH2CHCN,CH2CHCN
SiC2H+,SiC2H+
HC3O,HC3O
SiC2H,SiC2H
C4H5+,C4H5+
NCCNH+,NCCNH+
CH2CHCCH2+,CH2CHCCH2+
SiC2H2,SiC2H2
SiC2H2+,SiC2H2+
CH2CHCHCH2,CH2CHCHCH2
HCCCHO,HCCCHO
SiNC+,SiNC+
HC3OH+,HC3OH+
CH2CHCNH+,CH2CHCNH+
SiNC,SiNC
SiNCH+,SiNCH+
H2C3OH+,H2C3OH+
CCP,CCP
HCOCN+,HCOCN+
SiC2H3+,SiC2H3+
C2H5CN,C2H5CN
HCOCN,HCOCN
C4H7+,C4H7+
HCCCHOH+,HCCCHOH+
CCP+,CCP+
C2S,C2S
CH2CHCHO+,CH2CHCHO+
Fe,Fe
H2COCN+,H2COCN+
HNCOCH+,HNCOCH+
C2S+,C2S+
CH2CHCHO,CH2CHCHO
HC2P,HC2P
Fe+,Fe+
HC2P+,HC2P+
CaO,CaO
C2H5CNH+,C2H5CNH+
PC2H2+,PC2H2+
CH3NCO+,CH3NCO+
CH3NCO,CH3NCO
CaOH,CaOH
HCCS,HCCS
HC2S+,HC2S+
CH2CHCHOH+,CH2CHCHOH+
NCS+,NCS+
CH3NCOH+,CH3NCOH+
H2C2S+,H2C2S+
CH3COCH3,CH3COCH3
NaCl,NaCl
NCS,NCS
CH3COCH3+,CH3COCH3+
PC2H3+,PC2H3+
H2CCS,H2CCS
CH3CS+,CH3CS+
NaClH+,NaClH+
CH3COCH4+,CH3COCH4+
H3C2S+,H3C2S+
PC2H4+,PC2H4+
HSCN+,HSCN+
HNCS+,HNCS+
HSCN,HSCN
HNCS,HNCS
AlO2,AlO2
CH3COOH,CH3COOH
HOCH2CHO+,HOCH2CHO+
TiO+,TiO+
HCOOCH3,HCOOCH3
HNCSH+,HNCSH+
HOCHCHOH,HOCHCHOH
OCS+,OCS+
SiS,SiS
CH3COOH+,CH3COOH+
SiO2,SiO2
H2SCN+,H2SCN+
HCOOCH3+,HCOOCH3+
C5,C5
H2NCS+,H2NCS+
HOCH2CHO,HOCH2CHO
C5-,C5-
TiO,TiO
HOCHCHOH+,HOCHCHOH+
C5+,C5+
SiS+,SiS+
OCS,OCS
HSiO2+,HSiO2+
HSiS,HSiS
HOCHCHOH2+,HOCHCHOH2+
OCSH+,OCSH+
C5H+,C5H+
HOCH2CH2O+,HOCH2CH2O+
C3CCH,C3CCH
TiOH+,TiOH+
H2COOCH3+,H2COOCH3+
CH3COOH2+,CH3COOH2+
SiSH+,SiSH+
C3CCH+,C3CCH+
C5H-,C5H-
C5H,C5H
H2SiS,H2SiS
C4N,C4N
AlCl,AlCl
C3HCCH,C3HCCH
C3HCCH+,C3HCCH+
C4N+,C4N+
C5H2+,C5H2+
C3CCH2+,C3CCH2+
C5H2,C5H2
H2SiS+,H2SiS+
HC4N,HC4N
C3HCCH2+,C3HCCH2+
H3SiS+,H3SiS+
HC4N+,HC4N+
AlHCl,AlHCl
C5H3+,C5H3+
S2+,S2+
C4O+,C4O+
SO2+,SO2+
C4O,C4O
CH3C4H,CH3C4H
CH3C4H+,CH3C4H+
H2C4N+,H2C4N+
SiC3+,SiC3+
C5H4+,C5H4+
S2,S2
SiC3,SiC3
CH2C3N,CH2C3N
SO2,SO2
AlH2Cl,AlH2Cl
H2CCCHCCH,H2CCCHCCH
SiC3H+,SiC3H+
C5H5,C5H5
H2CCCHCN,H2CCCHCN
HS2+,HS2+
C5H5+,C5H5+
CH3C3N+,CH3C3N+
CH3C3N,CH3C3N
HCCCH2CN,HCCCH2CN
CH2C3NH+,CH2C3NH+
HC4O+,HC4O+
HS2,HS2
SiC3H,SiC3H
HC4O,HC4O
HOSO+,HOSO+
HC4OH+,HC4OH+
CH3C3NH+,CH3C3NH+
C5H6+,C5H6+
SiC3H2+,SiC3H2+
H2CCCHCNH+,H2CCCHCNH+
C5H6,C5H6
HCCCH2CNH+,HCCCH2CNH+
H2S2+,H2S2+
H2S2,H2S2
H3S2+,H3S2+
NCCNCH3+,NCCNCH3+
CH3CHCHCN+,CH3CHCHCN+
C5H7+,C5H7+
CH3CHCHCN,CH3CHCHCN
H2C4OH+,H2C4OH+
C3P,C3P
SiC3H3+,SiC3H3+
C3S+,C3S+
CH3CHCHCNH+,CH3CHCHCNH+
C3S,C3S
PC3H+,PC3H+
HC3S+,HC3S+
HC3S,HC3S
Cl2,Cl2
HC3SH+,HC3SH+
Al2O,Al2O
HCSC2H,HCSC2H
H2CCCS,H2CCCS
HCSC2H2+,HCSC2H2+
HCSCN,HCSCN
H3C3S+,H3C3S+
C6,C6
FeO,FeO
HCSCNH+,HCSCNH+
C6-,C6-
C6+,C6+
C6H+,C6H+
MgC4H,MgC4H
C6H,C6H
C6H-,C6H-
FeOH,FeOH
MgC4H2+,MgC4H2+
C5N+,C5N+
NaC3NH+,NaC3NH+
MgC3N,MgC3N
C6H2+,C6H2+
C5N-,C5N-
C6H2,C6H2
C5N,C5N
MgC3NH+,MgC3NH+
HC4NC+,HC4NC+
HC5N+,HC5N+
HC4NC,HC4NC
HC5N,HC5N
C6H3+,C6H3+
HC5NH+,HC5NH+
HC4NCH+,HC4NCH+
NC4N,NC4N
C5O,C5O
SiC4,SiC4
C6H4+,C6H4+
TiO2,TiO2
C6H4,C6H4
SiC4+,SiC4+
C5O+,C5O+
TiO2+,TiO2+
HC5O,HC5O
C6H5,C6H5
HCCCHCHCN+,HCCCHCHCN+
H2CCHC3N,H2CCHC3N
C6H5+,C6H5+
HCCCHCHCN,HCCCHCHCN
SiC4H+,SiC4H+
HC5O+,HC5O+
TiO2H+,TiO2H+
NC4NH+,NC4NH+
H2CCHC3N+,H2CCHC3N+
H3C5N+,H3C5N+
C6H6+,C6H6+
C6H6,C6H6
H2CCHC3NH+,H2CCHC3NH+
HCCCHCHCNH+,HCCCHCHCNH+
HC5OH+,HC5OH+
C6H7+,C6H7+
C4P+,C4P+
H2C5OH+,H2C5OH+
C4P,C4P
C4S+,C4S+
PC4H+,PC4H+
C4S,C4S
HC4S+,HC4S+
HC4S,HC4S
HC4SH+,HC4SH+
C7+,C7+
C7-,C7-
C7,C7
C7H-,C7H-
C7H,C7H
C7H+,C7H+
Al2O2,Al2O2
C7H2,C7H2
C7H2+,C7H2+
C7H3+,C7H3+
CH3C6H,CH3C6H
C7H4+,C7H4+
C6O,C6O
C6O+,C6O+
H2CCCHC4H,H2CCCHC4H
H2CCCHC3N,H2CCCHC3N
CH3C6H2+,CH3C6H2+
H2CCCHC3N+,H2CCCHC3N+
H2CCCHC4H2+,H2CCCHC4H2+
CH3C5N,CH3C5N
HC6O,HC6O
HC6O+,HC6O+
C5H5CCH,C5H5CCH
HC6OH+,HC6OH+
H2CCCHC3NH+,H2CCCHC3NH+
CH3C5NH+,CH3C5NH+
C5H4CCH2,C5H4CCH2
C5H4CCH3+,C5H4CCH3+
C5H5CCH2+,C5H5CCH2+
C5H5CN,C5H5CN
H2C6OH+,H2C6OH+
C5S,C5S
C5H5CNH+,C5H5CNH+
C5S+,C5S+
HC5S+,HC5S+
C8+,C8+
C8-,C8-
C8,C8
C8H-,C8H-
C8H,C8H
MgC6H,MgC6H
C8H+,C8H+
AlCl2,AlCl2
MgC5N,MgC5N
C7N-,C7N-
AlHCl2,AlHCl2
C8H2,C8H2
C7N,C7N
C8H2+,C8H2+
C7N+,C7N+
MgC6H2+,MgC6H2+
NaC5NH+,NaC5NH+
C8H3+,C8H3+
HC7N,HC7N
HC7N+,HC7N+
MgC5NH+,MgC5NH+
C7O+,C7O+
C8H4+,C8H4+
C7O,C7O
HC7NH+,HC7NH+
HC7O+,HC7O+
C8H5+,C8H5+
H3C7N+,H3C7N+
HC7O,HC7O
C6H5CCH,C6H5CCH
HC7OH+,HC7OH+
C6H5CCH+,C6H5CCH+
Al2O3,Al2O3
C6H5CCH2+,C6H5CCH2+
H2C7OH+,H2C7OH+
C6H5CN,C6H5CN
C6H5CNH+,C6H5CNH+
C9+,C9+
C9-,C9-
C9,C9
C9H-,C9H-
C9H,C9H
C9H+,C9H+
C9H2,C9H2
C9H2+,C9H2+
C9H3+,C9H3+
C8O+,C8O+
CH3C8H,CH3C8H
C9H4+,C9H4+
C8O,C8O
HC8O+,HC8O+
HC8O,HC8O
C9H5+,C9H5+
CH3C7N,CH3C7N
HC8OH+,HC8OH+
CH3C7NH+,CH3C7NH+
H2C8OH+,H2C8OH+
C10,C10
C10-,C10-
C10+,C10+
C10H-,C10H-
MgC8H,MgC8H
C10H+,C10H+
C10H,C10H
C9N-,C9N-
MgC7N,MgC7N
C9N,C9N
C10H2,C10H2
MgC8H2+,MgC8H2+
C9N+,C9N+
C10H2+,C10H2+
NaC7NH+,NaC7NH+
C10H3+,C10H3+
HC9N,HC9N
HC9N+,HC9N+
MgC7NH+,MgC7NH+
C9O+,C9O+
C9O,C9O
HC9NH+,HC9NH+
H3C9N+,H3C9N+
HC9O+,HC9O+
HC9O,HC9O
C10H5+,C10H5+
HC9OH+,HC9OH+
H2C9OH+,H2C9OH+
AlCl3,AlCl3
C11+,C11+
C11,C11
C11-,C11-
C11H+,C11H+
C11H,C11H
C11H-,C11H-
C11H2+,C11H2+
C11H2,C11H2
C11H3+,C11H3+
CH3C9N,CH3C9N
CH3C9NH+,CH3C9NH+
C12,C12
C12+,C12+
NaC9NH+,NaC9NH+
C11N-,C11N-
C11N,C11N
HC11N,HC11N
HC11N+,HC11N+
HC11NH+,HC11NH+
H2C11NH+,H2C11NH+
